mal_id	rank	title	url	start_date	members	score	source	duration	rating	favorites	rating_count	studio	popularity	global_rank	genres
512	58	Majo no Takkyuubin	https://myanimelist.net/anime/512/Majo_no_Takkyuubin	07-1989	280966	8.27	Novel	1 hr 45 min	G - All Ages	2763	178503	Studio Ghibli	358	260	Adventure,Comedy,Drama,Magic,Romance,Fantasy
585	59	Mimi wo Sumaseba	https://myanimelist.net/anime/585/Mimi_wo_Sumaseba	07-1995	167216	8.27	Manga	1 hr 51 min	G - All Ages	2114	91376	Studio Ghibli	676	261	Drama,Romance,Shoujo,Slice of Life
2236	60	Toki wo Kakeru Shoujo	https://myanimelist.net/anime/2236/Toki_wo_Kakeru_Shoujo	07-2006	516942	8.27	Novel	1 hr 38 min	PG - Children	5013	307221	Madhouse	133	263	Adventure,Drama,Romance,Sci-Fi
34537	61	Yoru wa Mijikashi Arukeyo Otome	https://myanimelist.net/anime/34537/Yoru_wa_Mijikashi_Arukeyo_Otome	04-2017	58947	8.27	Novel	1 hr 33 min	R+ - Mild Nudity	856	22541	Science SARU	1731	265	Comedy,Romance
16664	62	Kaguya-hime no Monogatari	https://myanimelist.net/anime/16664/Kaguya-hime_no_Monogatari	11-2013	103135	8.26	Other	2 hr 17 min	G - All Ages	1073	47896	Studio Ghibli	1099	270	Fantasy,Historical
35677	63	Liz to Aoi Tori	https://myanimelist.net/anime/35677/Liz_to_Aoi_Tori	04-2018	55193	8.26	Novel	1 hr 30 min	PG-13 - Teens 13 or older	881	18277	Kyoto Animation	1813	271	Drama,Music,School
12115	64	Berserk: Ougon Jidai-hen III - Kourin	https://myanimelist.net/anime/12115/Berserk__Ougon_Jidai-hen_III_-_Kourin	02-2013	129837	8.25	Manga	1 hr 50 min	R+ - Mild Nudity	1001	81156	Studio 4°C	889	278	Action,Adventure,Demons,Drama,Fantasy,Horror,Military,Seinen,Supernatural
28675	65	Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen	https://myanimelist.net/anime/28675/Kyoukai_no_Kanata_Movie_2__Ill_Be_Here_-_Mirai-hen	04-2015	145941	8.25	Light novel	1 hr 30 min	PG-13 - Teens 13 or older	808	74598	Kyoto Animation	780	282	Fantasy,Slice of Life,Supernatural
4155	66	One Piece Film: Strong World	https://myanimelist.net/anime/4155/One_Piece_Film__Strong_World	12-2009	143653	8.25	Manga	1 hr 55 min	PG-13 - Teens 13 or older	428	90321	Toei Animation	795	283	Action,Adventure,Comedy,Drama,Fantasy,Shounen
372	67	Cardcaptor Sakura Movie 2: Fuuin Sareta Card	https://myanimelist.net/anime/372/Cardcaptor_Sakura_Movie_2__Fuuin_Sareta_Card	07-2000	86406	8.24	Manga	1 hr 22 min	PG - Children	1627	51551	Madhouse	1295	287	Comedy,Drama,Fantasy,Magic,Romance,Shoujo
36990	68	Non Non Biyori Movie: Vacation	https://myanimelist.net/anime/36990/Non_Non_Biyori_Movie__Vacation	08-2018	29575	8.24	Manga	1 hr 11 min	PG-13 - Teens 13 or older	67	9942	Silver Link.	2637	291	Comedy,Slice of Life,Seinen
12859	69	One Piece Film: Z	https://myanimelist.net/anime/12859/One_Piece_Film__Z	12-2012	144359	8.24	Manga	1 hr 47 min	PG-13 - Teens 13 or older	523	91577	Toei Animation	791	292	Action,Adventure,Comedy,Drama,Fantasy,Shounen
11977	70	Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari	https://myanimelist.net/anime/11977/Mahou_Shoujo_Madoka★Magica_Movie_1__Hajimari_no_Monogatari	10-2012	139538	8.23	Original	2 hr 10 min	PG-13 - Teens 13 or older	459	72020	Shaft	817	299	Psychological,Drama,Magic,Thriller
35608	71	Chuunibyou demo Koi ga Shitai! Movie: Take On Me	https://myanimelist.net/anime/35608/Chuunibyou_demo_Koi_ga_Shitai_Movie__Take_On_Me	01-2018	102752	8.22	Light novel	1 hr 33 min	PG-13 - Teens 13 or older	728	41181	Kyoto Animation	1101	301	Comedy,Drama,Romance,School,Slice of Life
6467	72	Detective Conan Movie 14: The Lost Ship in the Sky	https://myanimelist.net/anime/6467/Detective_Conan_Movie_14__The_Lost_Ship_in_the_Sky	04-2010	35338	8.21	Manga	1 hr 42 min	G - All Ages	43	20432	Tokyo Movie Shinsha	2380	308	Action,Mystery,Police,Shounen
32005	73	Detective Conan Movie 20: The Darkest Nightmare	https://myanimelist.net/anime/32005/Detective_Conan_Movie_20__The_Darkest_Nightmare	04-2016	21675	8.21	Manga	1 hr 52 min	G - All Ages	81	11710	TMS Entertainment	3109	309	Action,Mystery,Police,Shounen
36946	74	Dragon Ball Super Movie: Broly	https://myanimelist.net/anime/36946/Dragon_Ball_Super_Movie__Broly	12-2018	115550	8.21	Manga	1 hr 55 min	PG-13 - Teens 13 or older	1004	67679	Toei Animation	1002	311	Action,Adventure,Comedy,Super Power,Martial Arts,Fantasy,Shounen
10153	75	Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's	https://myanimelist.net/anime/10153/Mahou_Shoujo_Lyrical_Nanoha__The_Movie_2nd_As	07-2012	18894	8.21	Original	2 hr 30 min	R+ - Mild Nudity	187	8478	Seven Arcs	3334	314	Action,Magic,Comedy,Sci-Fi,Drama
1364	76	Detective Conan Movie 05: Countdown to Heaven	https://myanimelist.net/anime/1364/Detective_Conan_Movie_05__Countdown_to_Heaven	04-2001	40711	8.18	Manga	1 hr 40 min	PG-13 - Teens 13 or older	37	24495	TMS Entertainment	2209	330	Adventure,Police,Comedy,Mystery,Shounen
16782	77	Kotonoha no Niwa	https://myanimelist.net/anime/16782/Kotonoha_no_Niwa	05-2013	430483	8.18	Original	46 min	PG-13 - Teens 13 or older	4799	252921	CoMix Wave Films	194	331	Slice of Life,Psychological,Drama,Romance
21557	78	Omoide no Marnie	https://myanimelist.net/anime/21557/Omoide_no_Marnie	07-2014	135214	8.18	Novel	1 hr 43 min	G - All Ages	1193	68160	Studio Ghibli	854	333	Mystery,Psychological,Drama
4107	79	Tengen Toppa Gurren Lagann Movie 1: Gurren-hen	https://myanimelist.net/anime/4107/Tengen_Toppa_Gurren_Lagann_Movie_1__Gurren-hen	09-2008	113632	8.18	Original	1 hr 52 min	PG-13 - Teens 13 or older	385	58105	Gainax	1015	337	Action,Comedy,Mecha
16662	80	Kaze Tachinu	https://myanimelist.net/anime/16662/Kaze_Tachinu	07-2013	155280	8.17	Manga	2 hr 6 min	PG-13 - Teens 13 or older	1352	85482	Studio Ghibli	733	345	Drama,Historical,Romance
31658	81	Kuroko no Basket Movie 4: Last Game	https://myanimelist.net/anime/31658/Kuroko_no_Basket_Movie_4__Last_Game	03-2017	119107	8.17	Manga	1 hr 30 min	PG-13 - Teens 13 or older	680	62572	Production I.G	970	346	Sports,School,Shounen
1367	82	Detective Conan Movie 08: Magician of the Silver Sky	https://myanimelist.net/anime/1367/Detective_Conan_Movie_08__Magician_of_the_Silver_Sky	04-2004	36629	8.16	Manga	1 hr 48 min	PG-13 - Teens 13 or older	39	21600	TMS Entertainment	2333	355	Adventure,Mystery,Comedy,Police,Shounen
1430	83	Lupin III: Cagliostro no Shiro	https://myanimelist.net/anime/1430/Lupin_III__Cagliostro_no_Shiro	12-1979	64421	8.16	Manga	1 hr 40 min	PG-13 - Teens 13 or older	699	39836	Tokyo Movie Shinsha	1625	360	Action,Adventure,Mystery,Comedy,Seinen
36862	84	Made in Abyss Movie 3: Fukaki Tamashii no Reimei	https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei	01-2020	121490	8.17	Web manga	1 hr 45 min	R - 17+ (violence & profanity)	342	606	Kinema Citrus	952	347	Sci-Fi,Adventure,Mystery,Drama,Fantasy
47	85	Akira	https://myanimelist.net/anime/47/Akira	07-1988	422204	8.15	Manga	2 hr 4 min	R+ - Mild Nudity	7268	256989	Tokyo Movie Shinsha	199	362	Action,Military,Sci-Fi,Adventure,Horror,Supernatural,Seinen
36371	86	Ginga Eiyuu Densetsu: Die Neue These - Seiran 3	https://myanimelist.net/anime/36371/Ginga_Eiyuu_Densetsu__Die_Neue_These_-_Seiran_3	11-2019	9396	8.15	Novel	25 min per ep	R - 17+ (violence & profanity)	26	3488	Production I.G	4516	365	Action,Drama,Military,Sci-Fi,Space
37515	87	Made in Abyss Movie 2: Hourou Suru Tasogare	https://myanimelist.net/anime/37515/Made_in_Abyss_Movie_2__Hourou_Suru_Tasogare	01-2019	36279	8.15	Web manga	Unknown	R - 17+ (violence & profanity)	71	2429	Kinema Citrus	2348	371	Sci-Fi,Adventure,Mystery,Drama,Fantasy
5681	88	Summer Wars	https://myanimelist.net/anime/5681/Summer_Wars	08-2009	365592	8.15	Original	1 hr 54 min	PG-13 - Teens 13 or older	3405	214321	Madhouse	260	375	Sci-Fi,Comedy
1506	89	Detective Conan Movie 10: Requiem of the Detectives	https://myanimelist.net/anime/1506/Detective_Conan_Movie_10__Requiem_of_the_Detectives	04-2006	35759	8.14	Manga	1 hr 51 min	PG-13 - Teens 13 or older	32	20805	TMS Entertainment	2363	378	Adventure,Comedy,Mystery,Police,Shounen
21419	90	Detective Conan Movie 18: The Sniper from Another Dimension	https://myanimelist.net/anime/21419/Detective_Conan_Movie_18__The_Sniper_from_Another_Dimension	04-2014	25120	8.14	Manga	1 hr 50 min	PG-13 - Teens 13 or older	37	14049	TMS Entertainment	2889	379	Action,Mystery,Police,Shounen
3016	91	Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture	https://myanimelist.net/anime/3016/Ginga_Eiyuu_Densetsu__Arata_Naru_Tatakai_no_Overture	12-1993	21893	8.14	Novel	1 hr 30 min	PG-13 - Teens 13 or older	42	11207	Magic Bus	3098	381	Action,Drama,Military,Sci-Fi,Space
34440	92	Code Geass: Hangyaku no Lelouch III - Oudou	https://myanimelist.net/anime/34440/Code_Geass__Hangyaku_no_Lelouch_III_-_Oudou	05-2018	44427	8.12	Original	2 hr 20 min	R - 17+ (violence & profanity)	104	10237	Sunrise	2090	395	Action,Mecha,Military,School,Sci-Fi,Super Power
5365	93	Tsumiki no Ie	https://myanimelist.net/anime/5365/Tsumiki_no_Ie	06-2008	69145	8.12	Original	12 min	G - All Ages	424	40663	Oh! Production	1558	407	Drama
2759	94	Evangelion: 1.0 You Are (Not) Alone	https://myanimelist.net/anime/2759/Evangelion__10_You_Are_Not_Alone	09-2007	303660	8.11	Original	1 hr 40 min	PG-13 - Teens 13 or older	1298	181872	Khara	328	409	Action,Mecha,Sci-Fi
7465	95	Eve no Jikan (Movie)	https://myanimelist.net/anime/7465/Eve_no_Jikan_Movie	03-2010	96654	8.11	Original	1 hr 46 min	PG-13 - Teens 13 or older	588	45802	Studio Rikka	1164	410	Sci-Fi,Slice of Life
3783	96	Kara no Kyoukai 3: Tsuukaku Zanryuu	https://myanimelist.net/anime/3783/Kara_no_Kyoukai_3__Tsuukaku_Zanryuu	02-2008	158415	8.11	Light novel	59 min	R+ - Mild Nudity	504	97429	ufotable	716	413	Action,Mystery,Supernatural,Drama,Thriller
34437	97	Code Geass: Fukkatsu no Lelouch	https://myanimelist.net/anime/34437/Code_Geass__Fukkatsu_no_Lelouch	02-2019	154448	8.1	Original	1 hr 52 min	R - 17+ (violence & profanity)	1152	26386	Sunrise	736	420	Action,Military,Sci-Fi,Super Power,Drama,Mecha
35111	98	Haikyuu!! Movie 4: Concept no Tatakai	https://myanimelist.net/anime/35111/Haikyuu_Movie_4__Concept_no_Tatakai	09-2017	19978	8.1	Manga	1 hr 28 min	PG-13 - Teens 13 or older	34	5027	Production I.G	3238	422	Comedy,Drama,School,Shounen,Sports
